Census Block,FY22 Count,FY23 Count,FY24 Count,Grand Total
421010033005004,,,4,4
421010033005007,,1,,1
421010033006003,2,,,2
421010033006008,,,1,1
421010036001007,,1,,1
421010036001008,,,1,1
421010036002007,1,,,1
421010036003007,,1,,1
421010036004001,,1,1,2
421010037011000,,1,,1
421010037011006,,1,1,2
421010037012007,,1,,1
421010037013002,,,1,1
421010037013008,,,1,1
421010037021006,,1,,1
421010037021007,,,1,1
421010037021008,,,1,1
421010037022005,,1,1,2
421010037022009,,1,,1
421010037023005,,,1,1
421010037023006,3,,,3
421010038001002,,,1,1
421010038001008,,,1,1
421010038001009,,1,2,3
421010038002004,,1,,1
421010038003003,,,1,1
421010038003004,,1,,1
421010038003008,,2,1,3
421010038005000,,,1,1
421010038005005,,,4,4
421010038005007,,2,,2
421010038005011,,1,1,2
421010038005016,,,2,2
421010038005025,,1,,1
421010039011003,,1,,1
421010039011010,,,2,2
421010039011011,,1,1,2
421010039012004,1,,,1
421010039012006,1,,,1
421010039014001,,1,,1
421010039014002,,1,,1
421010039014003,,1,,1
421010039014005,,1,,1
421010039022007,,,2,2
421010039022022,,1,,1
421010039022024,,1,,1
421010039023003,,1,,1
421010039023004,,1,2,3
421010039023012,,1,,1
421010040011004,1,1,,2
421010040011005,,,1,1
421010040012001,1,,,1
421010040012004,,,1,1
421010040013009,1,,,1
421010040014001,,,1,1
421010040014002,1,,,1
421010040014004,1,,,1
421010040014009,,,1,1
421010040021000,1,,,1
421010040021008,1,,,1
421010040022007,1,,,1
421010040022011,1,,,1
421010040023001,1,,,1
421010040023012,1,,1,2
421010040024000,,1,,1
421010040024009,1,,1,2
421010040024010,,,1,1
421010040024012,,,1,1
421010041012004,,,1,1
421010041013000,,,1,1
421010041013001,1,,,1
421010041013004,,,1,1
421010041041000,1,,,1
421010041041002,1,,1,2
421010041041003,1,,,1
421010041041004,1,,,1
421010041042013,1,,,1
421010041042017,1,,,1
421010041042018,,1,2,3
421010042011001,1,,,1
421010042011004,,,1,1
421010042011006,1,,1,2
421010042011007,1,,1,2
421010042012006,1,,,1
421010042012009,,1,,1
421010042012010,1,,,1
421010042012011,,,1,1
421010042013004,,,1,1
421010042014002,1,,,1
421010042014003,,,2,2
421010042014013,1,1,,2
421010042021003,,,1,1
421010042021006,1,,,1
421010042021007,,,1,1
421010042021019,1,,,1
421010042022001,1,,,1
421010042023001,,,1,1
421010042023003,1,,,1
421010042023007,,,1,1
421010042024000,,,1,1
421010042024003,,1,,1
421010054001008,,,1,1
421010055001017,,1,,1
421010055001018,2,,,2
421010055003000,,,1,1
421010055003001,,1,1,2
421010055003005,,1,,1
421010055004000,1,1,,2
421010055004001,,2,,2
421010055004006,1,,,1
421010055004007,1,1,1,3
421010060001010,,,2,2
421010060001017,,2,,2
421010060001023,,1,,1
421010060002000,,,2,2
421010060002001,,1,1,2
421010061001007,,2,1,3
421010062004005,,,1,1
421010062004013,,,1,1
421010063004009,,1,,1
421010064001000,,,1,1
421010064003013,,1,,1
421010064003026,,1,,1
421010065002001,,1,,1
421010065002012,,1,,1
421010065003010,,,1,1
421010067001013,,1,,1
421010067004004,,,1,1
421010070002002,,,1,1
421010070003003,,,1,1
421010071013000,1,,1,2
421010071021002,,1,,1
421010071023000,,1,,1
421010071023004,2,,2,4
421010071025003,,,1,1
421010071025005,,1,,1
421010072005002,,,1,1
421010073002002,,1,,1
421010073002003,,1,,1
421010074001003,1,,,1
421010074001006,1,,,1
421010074002000,,1,,1
421010074004009,,,1,1
421010077001004,,1,,1
421010077001005,,,1,1
421010077002002,1,,,1
421010077002007,1,,,1
421010078001001,,1,,1
421010078002004,,,1,1
421010078003003,,2,,2
421010078004002,,1,,1
421010078004003,1,,,1
421010078004007,,,2,2
421010078005000,1,,,1
421010078005001,,,1,1
421010078005006,,1,,1
421010079001004,,,1,1
421010079001007,,1,,1
421010079002003,,1,,1
421010079002004,,,1,1
421010079002006,,1,,1
421010079002007,,1,,1
421010079002008,,1,,1
421010079003000,1,,,1
421010079004000,,1,,1
421010079004002,,1,,1
421010079004004,,,1,1
421010080003002,1,,,1
421010080004001,,1,,1
421010080004007,,,1,1
421010080004009,1,,,1
421010081012015,,,1,1
421010081022005,,,1,1
421010081023005,1,,,1
421010082003001,,2,1,3
421010082003004,1,,,1
421010082004006,,1,,1
421010082005000,,,1,1
421010082006000,,1,,1
421010082006001,,,1,1
421010082006003,,1,,1
421010082006004,,,1,1
421010082006007,,,1,1
421010082006008,,2,,2
421010082006010,,2,,2
421010082006011,,,2,2
421010082007002,1,,,1
421010083022013,,,1,1
421010083022014,1,,,1
421010083022019,,1,,1
421010083023001,,,1,1
421010083024002,,,1,1
421010084002001,,,1,1
421010084003003,,,3,3
421010084004000,,,1,1
421010084004004,,,1,1
421010084004010,,,2,2
421010084005002,,,2,2
421010084006001,1,,,1
421010084006004,,1,,1
421010085003003,1,,,1
421010085004006,,,2,2
421010085005008,,,1,1
421010086011000,,,1,1
421010086011004,,1,,1
421010086011007,,,1,1
421010086012003,1,,1,2
421010086021003,,1,,1
421010086021015,,,1,1
421010086022005,,1,,1
421010087011000,,,1,1
421010087012001,,,1,1
421010087013004,,,1,1
421010087013011,,1,,1
421010087013012,,1,,1
421010087022005,,1,,1
421010087022006,,2,1,3
421010087023002,,1,,1
421010087023005,,1,,1
421010087023008,,,1,1
421010088021000,2,,,2
421010088022002,,1,,1
421010088023007,,,1,1
421010088025002,1,1,,2
421010090001002,1,,,1
421010090002008,,1,,1
421010090002018,1,,,1
421010091001002,,,1,1
421010091001003,1,,,1
421010091001004,1,,,1
421010091002001,,2,,2
421010091003001,,,2,2
421010092001001,,,3,3
421010092002005,2,,,2
421010094001004,,1,,1
421010095003006,,,1,1
421010095003017,2,,,2
421010096001006,1,,,1
421010096001011,,1,,1
421010096002003,,2,,2
421010096005005,,,2,2
421010098011000,,,1,1
421010098011009,,1,,1
421010098012001,,1,,1
421010098022004,,1,,1
421010098023011,,1,,1
421010100004016,,1,2,3
421010101001005,,,1,1
421010101002004,,,1,1
421010101002005,,,1,1
421010101003003,,,1,1
421010101004007,1,,,1
421010101004008,,2,,2
421010101004010,,1,,1
421010101005005,1,,,1
