Census Block,FY23 Count,FY24 Count,Grand Total
421010118002002,1,,1
421010118005001,,1,1
421010119001006,,1,1
421010119002001,1,,1
421010119003003,,1,1
421010120001017,3,1,4
421010121001000,1,,1
421010121001008,,1,1
421010121002004,1,,1
421010122044003,1,,1
421010133002005,2,,2
421010134012007,1,,1
421010134012012,1,,1
421010135001000,,1,1
421010135001002,1,,1
421010135002010,1,,1
421010135002013,1,,1
421010135002019,1,,1
421010135003012,10,1,11
421010135003013,,1,1
421010136021001,1,1,2
421010136022001,1,,1
421010136022007,1,,1
421010136022008,1,,1
421010136022011,1,,1
421010136024002,1,,1
421010136024004,1,,1
421010137011007,,1,1
421010137011008,,1,1
421010137012008,1,,1
421010137022009,1,,1
421010137023001,,1,1
421010137023004,1,1,2
421010137023006,,1,1
421010138002002,,1,1
421010138002012,1,1,2
421010138002016,,1,1
421010138002031,,1,1
421010139003002,,1,1
421010140001007,1,,1
421010140001011,1,,1
421010140002010,1,,1
421010140002011,1,,1
421010141002000,,10,10
421010142011004,,1,1
421010142021001,,1,1
421010142021004,2,,2
421010143001022,1,,1
421010143002010,1,,1
421010143002017,,1,1
421010143002022,1,,1
421010143002025,,3,3
421010144002008,1,,1
421010144003016,,4,4
421010144003017,,1,1
421010144003018,2,,2
421010144004001,,1,1
421010144004003,,1,1
421010144004018,1,,1
421010145001000,,1,1
421010145002008,,1,1
421010149002003,,1,1
421010149004004,1,1,2
421010149005001,,1,1
421010149006009,,1,1
421010151021000,,1,1
421010151021007,1,,1
421010151022004,,1,1
421010151023012,1,,1
421010152001005,,1,1
421010156001006,,1,1
421010157001004,1,,1
421010157002001,2,1,3
421010157003005,,2,2
421010157003009,,1,1
421010157003010,,1,1
421010158001008,,1,1
421010158001009,,1,1
421010158002002,4,,4
421010158002006,1,,1
421010158002013,,2,2
421010158003003,,1,1
421010158003006,,1,1
421010158005010,,1,1
421010158006002,1,1,2
421010158006006,,1,1
421010160011003,,1,1
421010160011004,,1,1
421010160011005,,1,1
421010160011012,1,3,4
421010160011014,,1,1
421010160011016,,1,1
421010160012006,1,,1
421010160012014,,2,2
421010160012015,,1,1
421010160012019,,1,1
421010160021003,,1,1
421010160021008,,1,1
421010160021013,,2,2
421010160022002,,2,2
421010160022004,,1,1
421010160022007,1,,1
421010160022008,,1,1
421010160022011,,1,1
421010160023004,,1,1
421010160023011,,1,1
421010160024014,,1,1
421010160024015,,1,1
421010160025009,1,,1
421010160025011,,2,2
421010161001003,,1,1
421010161001005,1,,1
421010161001009,1,,1
421010161001020,1,,1
421010161001023,,1,1
421010161001026,1,,1
421010161001029,,3,3
421010161001037,,1,1
421010161001045,,1,1
421010161002001,,1,1
421010161002010,,1,1
421010161002012,1,,1
421010161003001,,2,2
421010161004012,,1,1
421010161004013,1,,1
421010161004015,,1,1
421010161004017,1,,1
421010161004021,1,,1
421010163001009,,1,1
421010163002006,,1,1
421010163002022,,1,1
421010163002026,,1,1
421010163003005,,1,1
421010167023007,,1,1
421010169022011,,1,1
421010169024003,,1,1
421010171002001,,1,1
421010172023001,,1,1
421010173003017,1,,1
421010174002004,1,,1
421010175001019,1,,1
421010175005007,,1,1
421010176021009,,1,1
421010176021010,,2,2
421010176023000,,3,3
421010176023016,,1,1
421010176023022,,4,4
421010176023023,,8,8
421010179002002,1,,1
421010179002004,,1,1
421010179002006,,1,1
421010179003000,,2,2
421010179004013,1,,1
421010179004014,,1,1
421010180012003,,1,1
421010180013002,,1,1
421010180021000,,1,1
421010180021003,1,,1
421010180021004,,1,1
421010180022002,,1,1
421010180022011,,1,1
421010180022012,,1,1
421010180023013,2,,2
421010180023014,,1,1
421010180023021,,1,1
421010180024014,1,,1
421010183003021,1,,1
421010183004000,1,,1
421010184002007,,2,2
421010184002017,1,,1
421010188021004,,6,6
421010188022001,,1,1
421010192002002,,9,9
421010192004013,1,,1
421010195012006,,1,1
421010195013010,,3,3
421010198001015,,1,1
421010198004001,1,,1
421010202001008,1,,1
421010202001017,,2,2
421010202003002,,1,1
421010205001009,,1,1
421010207012004,1,,1
421010207012007,1,,1
421010207013005,,1,1
421010209001003,1,1,2
421010209001004,,3,3
421010209002001,,1,1
421010209003002,,2,2
421010209004003,1,,1
421010209004005,1,,1
421010210001001,1,1,2
421010210001003,,1,1
421010210003003,,2,2
421010210004008,,1,1
421010210004035,,1,1
421010210005000,1,,1
421010210005002,,1,1
421010211001004,,1,1
421010211001005,,1,1
421010211001006,,1,1
421010211002000,2,,2
421010211002011,1,,1
421010212001006,1,,1
421010212001007,,1,1
421010212002003,,2,2
421010213001001,,1,1
421010213002000,1,,1
421010213002004,1,,1
421010213003001,1,,1
421010213003002,1,,1
421010213003005,,1,1
421010213004004,2,,2
421010213004005,1,,1
421010213004006,1,,1
421010213005004,,1,1
421010213005006,,1,1
421010214001011,,1,1
421010214001013,1,,1
421010214002002,,1,1
421010215001010,1,,1
421010215002002,1,,1
421010215002003,,4,4
421010215002027,,1,1
421010217001010,,1,1
421010217002000,1,,1
421010217002007,4,,4
421010217003000,,2,2
421010217004003,,2,2
421010217004004,,1,1
421010217004005,,1,1
421010217004007,,1,1
421010217004009,,2,2
421010218001000,,1,1
421010219001004,,2,2
421010219001006,,1,1
421010219001011,,2,2
421010219001029,,1,1
421010220001000,,4,4
421010235001008,,1,1
421010235001009,1,,1
421010235001013,1,,1
421010236001002,,1,1
421010236001005,,1,1
421010236002002,,1,1
421010236002011,1,,1
421010237001002,,1,1
421010237001003,1,,1
421010237002000,1,,1
421010237003001,,1,1
421010237003006,,1,1
421010238001002,,1,1
421010238001003,,2,2
421010238001004,,1,1
421010238004000,,1,1
421010238005000,,1,1
421010240001003,1,,1
421010240002005,,1,1
421010242003000,,1,1
421010242003001,1,,1
421010242004001,,2,2
421010243001000,1,,1
421010243001001,,2,2
421010243002006,1,,1
421010243003000,,2,2
421010244001002,,1,1
421010244003005,,1,1
421010245002016,,1,1
421010245002017,,1,1
421010246002003,,2,2
421010248002009,,1,1
421010249004001,,2,2
421010252002005,,1,1
421010252004004,,3,3
421010252005002,,1,1
421010252006005,,1,1
421010253003006,,1,1
421010254001001,,1,1
421010254002008,,1,1
421010254003005,,1,1
421010254004017,,1,1
421010255002006,,1,1
421010255002011,1,,1
421010255002015,,1,1
421010256001007,,1,1
421010256001008,1,,1
421010256001009,,1,1
421010256001010,,1,1
421010256001013,,3,3
421010256002001,1,,1
421010257001001,,1,1
421010257001004,2,1,3
421010257003001,,3,3
421010258001013,1,,1
421010260001004,1,,1
421010260002001,1,,1
421010260002007,1,,1
421010261002004,3,,3
421010262004008,1,,1
421010263013006,2,,2
421010263021002,1,1,2
421010263024011,,1,1
421010264001003,,1,1
421010266001006,1,,1
421010267002012,,1,1
421010267004006,,1,1
421010267004007,1,,1
421010267004008,1,,1
421010268004006,,2,2
421010272003005,,1,1
421010275001008,,1,1
421010275002000,,2,2
421010276004006,,1,1
421010277002001,,1,1
421010278003003,,1,1
421010279012005,1,,1
421010279022016,,1,1
421010280003007,,1,1
421010281001001,1,,1
421010281001003,,1,1
421010282003027,1,,1
421010284002005,1,,1
421010287001013,,2,2
421010287001014,,1,1
421010287001020,,2,2
421010288003001,,2,2
421010293002014,2,,2
421010298004008,1,,1
421010299002009,,1,1
421010305023004,,1,1
421010306003014,4,,4
421010307003002,,3,3
421010308004006,,1,1
421010308004013,,1,1
421010315012018,,1,1
421010315013011,,1,1
421010316002003,,1,1
421010316005000,,1,1
421010317005003,,1,1
421010318001009,1,,1
421010319002007,,1,1
421010320007000,2,,2
421010321001005,2,,2
421010321003012,1,,1
421010326002001,,1,1
421010326003006,,1,1
421010330003003,,1,1
421010330003004,,1,1
421010330006001,,1,1
421010330006008,,2,2
421010331011009,1,,1
421010331011017,,2,2
421010331012014,,1,1
421010331021002,,1,1
421010333001026,,1,1
421010334004012,1,,1
421010339001004,,1,1
421010339002015,,1,1
